Speedclass [m/s],Pi_tot_V [-],m_V [kg/s]
3750.0,1.6030294005282466,2.472225332860604
3750.0,1.779530216496267,2.3707612607599367
3750.0,1.9303426992282375,2.1715149738774766
3750.0,1.9666512361525341,1.9877033096577075
3750.0,1.9372475381438494,1.707694923510275
3750.0,1.7462720860658498,1.9483312091883804
4500.0,1.9853113725457163,3.023314950911328
4500.0,1.9904373453979798,2.8275002243190572
4500.0,1.9540479959537151,2.3396726231619707
4500.0,2.231808287873757,2.0140434437914947
4500.0,2.273750539664479,2.15876790611707
5250.0,2.344162995460572,3.752800169135179
5250.0,2.6317204945999717,3.3411446290813602
5250.0,2.5367561653320685,3.1602353686315134
5250.0,2.736307302521083,2.868761639516684
5250.0,2.5178985618993783,2.748773992459123
6000.0,2.721904657848984,4.737759646984188
6000.0,2.807850424982375,4.309340270618618
6000.0,3.06309304969962,4.124452229575184
6000.0,3.0615520542418144,3.776634034320923
6000.0,3.139460582318157,3.8695740689879723
6000.0,3.06556766581763,3.5708171081806377
6750.0,3.3215257581285895,5.743218191855763
6750.0,3.2343416718103724,5.735115436010274
6750.0,3.6708395569147356,5.415584824447365
6750.0,3.499309763489797,5.322531611726811
6750.0,3.6845289736094684,5.026804438962874
6750.0,4.009887447613991,4.557030418497449
6750.0,3.594257838553582,4.530583285694818
7125.0,3.5011855672075987,6.281960322729787
7125.0,3.697510817414052,5.9642689863615574
7125.0,3.874423996966966,5.835550361155846
7125.0,3.971196233950269,5.578626337130742
7125.0,4.10232119453869,5.550301062519705
7125.0,4.30371388623034,5.397264008764983
7125.0,4.176601064396243,5.045211371822616
7125.0,4.356612880406196,5.174227756788518
7500.0,3.806780545299831,6.766499979166529
7500.0,4.065558295291199,6.804511245231788
7500.0,4.379108851794406,6.544877059972681
7500.0,4.65194289832271,6.265456302644532
7500.0,4.556407837677865,5.761434341832538
7500.0,4.703155507715536,5.817631487726078
7500.0,4.826814129406282,5.5489469655213135
7875.0,4.122023163418349,7.407461976838414
7875.0,4.536038242893143,7.241978982363875
7875.0,4.7107890615173815,7.0525993601722785
7875.0,4.985873546153669,6.802091004857312
7875.0,5.089420718829666,6.456730464981813
7875.0,5.105119698374139,6.388247376815591
7875.0,5.233114515593242,6.073390244337382
8250.0,4.841426991422147,7.809635572912782
8250.0,5.203547973580545,7.721674966235679
8250.0,5.342092331378498,7.561718945332222
8250.0,5.484270234893261,7.520337584395635
8250.0,5.72602409470807,7.1408333572162
8250.0,5.7165233761877285,6.98804438982768
8250.0,5.86829527710412,6.9543628870647956
8550.0,4.972463357627948,7.7177816840393305
8550.0,5.47901252823788,7.61764638519245
8550.0,5.625527033323092,7.7302790927145795
8550.0,5.8720071490350705,7.7200843338078915
8550.0,6.20522577863783,7.643420944072322
